title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Best on U.S. Economy: Forecasters,7/1/2016,people,economics,Christophe Barraud,NA,TRUE,best-on-u-s-economy-forecasters.csv,Christophe Barraud leads the best overall forecasters for the seventh consecutive quarter,NA,NA,NA,"Bloomberg ranked forecasters of the U.S. economy based on the average rank of their forecasts for 15 key monthly indicators as of July 1, 2016 for the two years ending on May 31, 2016.","Forecasters submitted estimates to Bloomberg for the following 15 key indicators: Consumer Confidence, CPI, Durable Goods Orders, Existing Home Sales, Housing Starts, IP, ISM Manufacturing, ISM Nonmanufacturing, New Home Sales, Nonfarm Payrolls, Personal Income, Personal Spending, Retail Sales, Unemployment and GDP. GDP is treated as a monthly indicator by ranking the advance, second and third revisions. This ranking does not include PPI. The scores of the 74 forecasters who qualified in at least eight indicators were averaged.
Bloomberg considered two years of data (ended May 2016) for monthly indicators, with a forecast requirement of at least 15 out of 24 forecasts, a minimum of two consecutive forecasts within the last six months and at least one forecast in the last three periods. Each indicator had at least 65 forecasters who qualified for the ranking.",Bloomberg,2016-07-01
CO<span class='sub'>2</span> Saved by Bike-Sharing Programs: U.S. Cities,8/11/2016,places,lifestyle,"New York, NY",TRUE,FALSE,co2-saved-by-bike-sharing-programs-us-cities.csv,Bike-sharing programs in 29 U.S. cities saved more than 2 million gallons of gas in 2015.,NA,NA,NA,Bloomberg ranked U.S. cities with bike-share programs based on the estimated carbon-dioxide emissions saved by using bikes instead of gas-consuming vehicles.,"The CO<span class='sub'>2</span> offset for each city was calculated by multiplying the number of miles biked by 415 (grams of CO<span class='sub'>2</span> saved per mile), and converting the result into pounds. In several cases, the figures might differ slightly from those reported by cities. The CO<span class='sub'>2</span> equivalent in gallons of gas was calculated using the EPA website calculator. Includes cities that reported miles traveled in bike-share programs in 2015.",Bike share programs in the cities; EPA.gov,2016-8-10
Highest Number of Militias: States,2/24/2016,places,politics-and-policy,Ohio,NA,TRUE,highest-number-of-militias-states.csv,"Although the total number of armed antigovernment groups in the U.S. has declined 16% since 2010, Ohio doubled its number of militias to become No. 1 in the U.S.",NA,NA,NA,Bloomberg ranked the 50 states and the District of Columbia based on the number of militia groups counted in 2015 by the Southern Poverty Law Center.,"A militia, as defined by the Center, is an armed antigovernment group that engages in military-style exercises to prepare for perceived threats to America, many of which they believe derive in some way from the federal government. Not all groups are counted because many operate secretively. The list was compiled from field reports, group publications, the Internet, law enforcement sources, and news reports.",Southern Poverty Law Center,2016-02-24
Best Large-Sized Performers: Hedge Funds,2/23/2016,companies,investing,Perceptive Life Sciences,NA,TRUE,best-large-sized-performers-hedge-funds.csv,At least half of the 50 best-performing hedge funds of $1 billion and up are focused on equity markets,NA,NA,NA indicates fund was not operating for full-year 2014 or 2014 returns could not be obtained.,Bloomberg's rankings of the top-performing hedge funds are based on funds' net returns for 2015.,"Because hedge-fund returns can be difficult to obtain, our lists are not all-inclusive. In addition, some of the numbers were difficult to verify. Unless the information came from Bloomberg data or the hedge-fund  firm itself, we tried to verify it with other sources, including investors and other fund databases. All returns are for full-year 2015; fund assets are the latest available. Onshore and offshore assets were combined for a number of funds, while figures for other funds were only for the larger or better-performing class of the fund.","Bloomberg, hedge-fund firms and databases, investors",2016-02-23
Minimum Wage Closest to Median Wage: Countries,2/10/2016,places,personal-finance,Turkey,NA,TRUE,minimum-wage-closest-to-median-wage-countries.csv,"Within the OECD, minimum-wage workers in Turkey are closest to the median",NA,NA,NA,Bloomberg ranked countries in the OECD based on the ratio of the minimum wage to median wage.,"Changes over a decade are also provided. Figures for Chile are for 2003 and 2014. For Slovenia and Mexico, data prior to 2005 were not available.",OECD,2016-02-10
Top Donors to Charity in 2015: U.S. Billionaires,2/9/2016,people,business,John Alfred Paulson (John and Jenny),NA,TRUE,top-donors-to-charity-in-2015-u-s-billionaires.csv,"Despite a total $38 billion decrease in wealth, these 14 U.S. billionaires donated $2.5 billion to charitable causes in 2015 and appear on the Chronicle of Philanthropy's Top 50 Philanthropists",NA,NA,*Recipients not disclosed,Bloomberg ranked U.S. billionaires who appeared in the Chronicle of Philanthropy's 2016 Philanthropy 50 by the amount of money donated to charity in 2015.,"Fourteen members of the Bloomberg Billionaires Index appear on the Chronicle's list of Top 50 Philanthropists for 2015.

The Chronicle notes that not all philanthropists publicly disclose details about their giving, and they are not legally required to do so. Gifts donors made from their family foundations were not counted to avoid including them twice: when the philanthropist gave the money to the foundation and when a beneficiary is chosen for the money. The ChronicleÂ counted only gifts to organizations with charity or foundation status under section 501(c)(3) of the Internal Revenue Service Code. Figures were based on new commitments, and did not include payments on past pledges.

Bloomberg News editorial policy is to not cover Bloomberg L.P. As a result, Michael Bloomberg, the founder and majority owner of Bloomberg L.P., isn't considered for this ranking.","Bloomberg, The Chronicle of Philanthropy",2016-02-09
Greatest Increase in Gun Background Checks 2010-2015: States,1/5/2016,places,politics-and-policy,Indiana,NA,TRUE,greatest-increase-in-gun-background-checks-2010-2015-states.csv,"In six states, the number of federal firearm background checks more than doubled",NA,NA,NA,"Bloomberg ranked the 50 states and the District of Columbia by the percentage increase in number of NICS firearm background checks from January 1, 2010 through December 31, 2015.","(NICS is the National Instant Criminal Backgroud Check System.) Because of varying state laws and purchase scenarios, the statistics do not represent the number of firearms sold.",FBI,2016-01-05
Best on the Chinese Economy: Forecasters,1/1/2016,people,economics,Song Yu,NA,TRUE,best-on-the-chinese-economy-forecasters-1.csv,Song Yu of Goldman Sachs tops the list,NA,NA,NA,"To identify the top forecasters of the Chinese economy, we used estimates submitted to Bloomberg for nine key monthly indicators: GDP, CPI, Exports, Imports, Trade Balance, Fixed Assets Investment (Urban), Manufacturing PMI, Money Supply M2, and PPI.","To qualify to be ranked, we require at least 15 out of the last 24 monthly forecasts with at least one forecast in the last three periods and two consecutive forecasts within the last six months. To determine the best overall forecasters, we averaged the scores of the 28 forecasters who qualified for a ranking in at least three indicators. The ranking shows the top 30 percent of that group.
Bloomberg assigns a score between zero and 100 to economists reflecting the accuracy of their historical forecasts. Economists with lower forecast errors relative to other economists would receive higher scores, and vice versa. A ""Z-score""-based statistical model is employed to calculate the probability of the forecast error. The score is then equated to the probability of the forecast error being larger than the observed error for the given economist.
More information on Calculation Methodology (Z-score-based) may be found on the Bloomberg Professional service on the ECOS Help page under Calculations.",Bloomberg,2016-01-01
Best on the Brazilian Economy: Forecasters,1/1/2016,people,economics,Ilan Goldfajn,NA,TRUE,best-on-the-brazilian-economy-forecasters.csv,Ilan Goldfajn best overall forecaster for Q4 2015,NA,NA,*Chief economist; the forecast was submitted unattributed.,"To identify the top forecasters of the Brazilian economy, we used estimates submitted to Bloomberg for five key monthly indicators: GDP, CPI, Industrial Production, Retail Sales, and Unemployment.","To qualify to be ranked, we require at least 15 out of the last 24 monthly forecasts with at least one forecast in the last three periods and two consecutive forecasts within the last six months. To determine the best overall forecasters, we averaged the scores of the 29 forecasters who qualified for a ranking in at least three indicators. The ranking shows the top 30 percent of that group.
Bloomberg assigns a score between zero and 100 to economists reflecting the accuracy of their historical forecasts. Economists with lower forecast errors relative to other economists would receive higher scores, and vice versa. In the case of a tie of two or more economists, the listings are alphabetical by firm name.  A ""Z-score""-based statistical model is employed to calculate the probability of the forecast error. The score is then equated to the probability of the forecast error being larger than the observed error for the given economist.
More information on Calculation Methodology (Z-score-based) may be found on the Bloomberg Professional service on the ECOS Help page under Calculations.",Bloomberg,2016-01-01
Best on the Euro-Zone Economy: Forecasters,1/1/2016,people,economics,Christophe Barraud,NA,TRUE,best-on-the-euro-zone-economy-forecasters.csv,Christophe Barraud best overall forecaster for Q4 2015,NA,NA,*Chief economist; the forecast was submitted unattributed.,"To identify the top forecasters of the Euro-zone economy, we used estimates submitted to Bloomberg for nine key monthly indicators: GDP, CPI, Consumer Confidence, Economic Sentiment, Industrial Confidence, Industrial Production, Money Supply, PPI, and Unemployment.","To qualify to be ranked, we require at least 15 out of the last 24 monthly forecasts with at least one forecast in the last three periods and two consecutive forecasts within the last six months. To determine the best overall forecasters, we averaged the scores of the 22 forecasters who qualified for a ranking in at least five indicators. The ranking shows the top 30 percent of that group.
Bloomberg assigns a score between zero and 100 to economists reflecting the accuracy of their historical forecasts. Economists with lower forecast errors relative to other economists would receive higher scores, and vice versa. A ""Z-score""-based statistical model is employed to calculate the probability of the forecast error. The score is then equated to the probability of the forecast error being larger than the observed error for the given economist.
More information on Calculation Methodology (Z-score-based) may be found on the Bloomberg Professional service on the ECOS Help page under Calculations.",Bloomberg,2016-01-01
