monthYear,filename,x_network,y_network,component,class,walktrap_group,title,updated,entity,topic,winner,is_new,is_pick,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated,month,year,day,timeRow,timeCol,timeStack
7-2012,most-popular-in-the-world-us-fast-food-brands.csv,9.678470225014097,6.640716077354948,2,2_261,17,Most Popular in the World: U.S. Fast-Food Brands,2012-07-23,companies,business,Subway,NA,NA,Subway is the world's most popular fast-food establishment. KFC rules in emerging markets,NA,NA,NA,Bloomberg ranked fast-food companies based on total number of establishments.,"The number of fast-food stores were collected for the following brands: KFC, McDonald's, Burger King, Wendy's, Popeyes, Pizza Hut, Taco Bell, Domino's Pizza, Papa John's, Quiznos, Subway, Starbucks, Dunkin' Donuts, Baskin-Robbins, Haagen-Dazs, Dairy Queen, Krispy Kreme and Auntie Anne's.  For this ranking, global emerging consumer markets were defined as countries with more than $2,000 GDP per capita, 2 percent GDP growth and 2 percent household-consumption growth, all using rounded averages from 2000 to 2010. Excluded were countries with populations of fewer than 5 million as of 2010, countries classified as developed by either the FTSE or MSCI and countries with fewer than a total of 50 of the stores considered.  Data were latest available.","Bloomberg, companies, World Bank, International Monetary Fund",2012-07-23,7,2012,23,1,1,1
10-2012,highest-premiums-for-advanced-degrees-us-cities.csv,-0.5042676421790051,3.7347877700544143,2,2_261,3,Highest Premiums for Advanced Degrees: U.S. Cities,2012-10-11,places,personal-finance,"Miami, FL",NA,NA,Miami offers the greatest increase in pay for workers with graduate or professional degrees,NA,NA,NA,Bloomberg ranked major U.S. cities on the difference in median earnings between workers with only a bachelor's degree and those with a graduate or professional degree.,"The 2011 median earnings of workers with a bachelor's degree were compared with the 2011 median earnings of workers with a graduate or professional degree in 61 cities with at least 300,000 residents as of 2010. Included were workers 25 years old and older.","2010 Census, 2011 American Community Survey 1-year Estimates",2012-10-11,10,2012,11,1,1,1
10-2012,longest-retirements-countries.csv,7.226640189402621,2.8507486629294165,2,2_261,2,Longest Retirements: Countries,2012-10-24,places,lifestyle,Singapore,NA,NA,"Singaporeans live 23 years after retirement, Americans just 12",MLCH7K6K50Y901,NA,NA,Bloomberg ranked countries based on their average life expectancy postretirement.,"""Sunset years"" refer to life expectancy postretirement. Sunset years for men and women were calculated by subtracting retirement age from life expectancy in each country. The average statutory pensionable age and average statutory retirement age in the private sector were used as proxies. The overall global sunset index for each country was created by weighting the sunset years with each country's gender ratio for the 65+ population. Only countries with at least 3 million 65+ residents or 10 percent of the population age 65+ were included.","United Nations Population Division, Social Security Administration; World Bank",2012-10-24,10,2012,24,2,1,2
10-2012,most-rapidly-aging-countries.csv,5.9258548682638414,4.340347234890813,2,2_261,8,Most Rapidly Aging: Countries,2012-10-24,places,lifestyle,Japan,NA,NA,"Senior ranks swell in Europe, catching up with Japan",NA,NA,NA,Bloomberg ranked countries and sovereigns on four measures related to aging.,"Countries and sovereigns with at least 3 million people or at least 10 percent of their population 65 years of age and  and older were ranked on four factors:  speed of aging, both relative and absolute, through approximately one generation (the beginning of the generation proxy was 1981-1984 and the ending was 2007-2011); average annual concentration of seniors from 2007 to 2011; pipeline of seniors as of 2010 (most recent data available); and number of seniors not participating in the labor force as a percentage of the age 15-64 working population (using latest figures). Their average rank determined the order. Only countries with data for all four factors were included.","United Nations Population Division, International Labor Organization",2012-10-24,10,2012,24,1,2,3
10-2012,highest-paying-college-degrees.csv,-0.06577399102613252,6.063372337594372,2,2_261,3,Highest-Paying: College Degrees,2012-10-29,schools,personal-finance,Engineering,NA,NA,"The most lucrative college degrees: engineering, math and science",NA,NA,NA,Bloomberg ranked bachelor's degree fields on the median earnings of workers.,"Fifteen majors were ranked on median earnings for full-time, year-round workers ages 25 and older  by field of first bachelor's degree.","U.S. Census ACS Brief - Field of Degree and Earnings by Selected Employment Characteristics 2011, 2011 ACS 3-year Estimates",2012-10-29,10,2012,29,2,2,4
11-2012,heaviest-men-countries.csv,-13.928161966992953,6.684391173327064,2,2_261,22,Heaviest Men: Countries,2012-11-27,places,lifestyle,Czech Republic,NA,NA,Czech men are the heaviest in the world,NA,NA,NA,"Bloomberg ranked countries on average adult-male weight and calculated the pound-loss necessary to reach the upper level of ""normal.""","Weights were calculated by adapting the standard BMI formula: BMI = (weight in pounds / (height in inches x height in inches)) x 703. 
BMI is an index of weight-to-height used to classify adults as underweight, overweight or obese. Average adult BMI data were collected from the World Health Organization. Sources for average adult height data included OECD Society at a Glance (for OECD and Asia/Pacific countries) and MEASURE DHS, a survey project funded by the U.S. Agency for International Development. To extrapolate 2012 BMI, a simple linear trend was applied to BMI statistics from 1980 to 2008, the most recent data available. Ranking included countries with at least 1.5 million male and female adults and with complete 1980-2008 BMI data.
","Bloomberg, United Nations Population Division of World Health Organization, OECD Society at a Glance, MEASURE DHS, ICF International, research papers",2012-11-27,11,2012,27,1,1,1
11-2012,heaviest-population-countries.csv,-13.561397072257272,5.60266682768641,2,2_261,22,Heaviest Population: Countries,2012-11-27,places,lifestyle,United States,NA,NA,U.S. adults outweigh the rest of the world,NA,NA,NA,"Bloomberg ranked countries based on the weight of an average adult, which is the gender ratio-weighted aggregate of male and female adults.","Weights were calculated by adapting the standard BMI formula: BMI = (weight in pounds / (height in inches x height in inches)) x 703. 
BMI is an index of weight-to-height used to classify underweight, overweight and obese adults. Average adult BMI data were collected from the World Health Organization. Sources for data on average adult height included OECD Society at a Glance (for OECD and Asia/Pacific countries) and MEASURE DHS, a survey project funded by the U.S. Agency for International Development. To extrapolate 2012 BMI, a simple linear trend was adapted to BMI statistics from 1980 to 2008, the most recent data available. Ranking included countries with at least 1.5 million male and female adults and with complete 1980-2008 BMI data.","Bloomberg, United Nations Population Division of World Health Organization, OECD Society at a Glance, MEASURE DHS, ICF International, research papers",2012-11-27,11,2012,27,2,1,2
11-2012,heaviest-women-countries.csv,-14.241985757937675,6.3985054936402195,2,2_261,22,Heaviest Women: Countries,2012-11-27,places,lifestyle,Egypt,NA,NA,Egyptian women are heaviest in the world,NA,NA,NA,"Bloomberg ranked countries on average adult-female weight and calculated the pound-loss necessary to reach the upper level of ""normal.""","Weights were calculated by adapting the standard BMI formula: BMI = (weight in pounds / (height in inches x height in inches)) x 703. 
BMI is an index of weight-to-height used to classify adults as underweight, overweight or obese. Average adult BMI data were collected from the World Health Organization. Sources for average adult height data included OECD Society at a Glance (for OECD and Asia/Pacific countries) and MEASURE DHS, a survey project funded by the U.S. Agency for International Development. To extrapolate 2012 BMI, a simple linear trend was applied to BMI statistics from 1980 to 2008, the most recent data available. Ranking included countries with at least 1.5 million male and female adults and with complete BMI data from 1980 to 2008.
 
","Bloomberg, United Nations Population Division of World Health Organization, OECD Society at a Glance, MEASURE DHS, ICF International, research papers",2012-11-27,11,2012,27,1,2,3
11-2012,busiest-airports-for-international-travel-us-cities.csv,-1.3216654006846869,-3.2937485226850574,2,2_261,14,Busiest Airports for International Travel: U.S. Cities,2012-11-27,places,lifestyle,"New York-Northern New Jersey-Long Island, NY-NJ-PA",NA,NA,"New York, Miami and Los Angeles have the most international passengers arriving and departing",NA,NA,NA,Bloomberg ranked U.S. airport hubs based on the number of international passengers that traveled through.,Includes metropolitan areas with at least 1 million passengers. These passengers must either start or end their journey in the listed U.S. metro area.,Brookings Institution,2012-11-27,11,2012,27,2,2,4
11-2012,most-stores-per-square-mile-states.csv,4.255899733916888,5.670422332782159,2,2_261,29,Most Stores per Square Mile: States,2012-11-29,places,business,New Jersey,NA,NA,"New Jersey has 1.4 stores per square mile, more than any other state.",NA,NA,NA,Bloomberg ranked U.S. states on the number of retail establishments per square mile.,"Included were retail establishments from the following NAICS (North American Classification System) titles: electronics and appliance stores, clothing and clothing accessory stores, jewelry stores, sporting goods stores, hobby, toy and game stores, bookstores, department stores and gift, novelty and souvenir stores. Only stores with paid employees were included.","U.S. Census, County Business Patterns 2010",2012-11-29,11,2012,29,1,3,5
12-2012,biggest-brain-gains-us-cities.csv,-0.14085087346354136,1.9537717229642453,2,2_261,3,Biggest Brain Gains: U.S. Cities,2012-12-19,places,education,"Jersey City, NJ",NA,NA,Jersey City and Atlanta have shown the biggest increases in educated adults,NA,NA,NA,"Bloomberg ranked cities with at least 100,000 residents as of 2011 on the increase in the percentage of the population with a bachelor's degree or higher between 2000 and 2011.","Among 151 cities that were analyzed, the 20 showing the greatest percentage-point increase in educated adults are shown.","U.S. Census 2000 SF3, 2011 ACS 5-Year Estimates",2012-12-19,12,2012,19,1,1,1
1-2013,most-volunteers-us-cities.csv,12.531683006900735,-0.17242158207403308,2,2_261,25,Most Volunteers: U.S. Cities,2013-01-02,places,lifestyle,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,NA,Minneapolis-St. Paul-Bloomington has the highest percentage of volunteers,NA,NA,NA,Bloomberg ranked metropolitan statistical areas (MSAs) on citizens' volunteer rates.,"Based on the latest census data, the volunteer rate is the percentage of respondents 16 or older who participated in unpaid volunteer activities through or for an organization at any point during the 12-month survey year. The value of volunteering was calculated by multiplying $21.79-- the estimated value of a volunteer hour, according to Volunteering and Civic Life in America--by the total number of volunteer hours for each MSA. N/A indicates that the sample size was too small to generate reliable statistics for that measure.",Volunteering and Civic Life in America (volunteeringinamerica.gov),2013-01-02,1,2013,2,1,1,1
1-2013,most-popular-for-heating-us-homes-energy-sources.csv,-3.200020718151123,-4.901147438483744,2,2_261,13,Most Popular for Heating U.S. Homes: Energy Sources,2013-01-04,other,economics,Gas,NA,NA,Gas trumps electricity for heating American homes with solar-energy users scarce,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on fuel usage in 2011.,Heating-fuel data were analyzed for each state and the District of Columbia. The states were ranked by the percentage of total occupied housing units that used each fuel type in 2011.,U.S. Census 2011 American Community Survey 5-year Estimates,2013-01-04,1,2013,4,2,1,2
1-2013,largest-wage-increases-states.csv,1.3394685221489895,8.788370658179161,2,2_261,6,Largest Wage Increases: States,2013-01-14,places,personal-finance,District of Columbia,NA,NA,"Average pay increased most in D.C. from 2001 to 2011, least in Michigan",NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on their annualized increase in average wages from 2001 to 2011.,"Bloomberg reviewed state cross-industry estimate tables from 2001 to 2011, extracting the annual mean wage figure representing all occupations for each state. The national U.S. average was calculated and set at 100 as of 2001. Then changes were calculated for each year adjusted for inflation. (The average annualized increase for wages nationally was 2.89%.) Included were wage data for 23 major occupational groups and more than 821 detailed occupational titles. Self-employed persons were excluded.",Bureau of Labor Statistics' Occupational Employment Statistics; International Monetary Fund,2013-01-14,1,2013,14,1,2,3
1-2013,highest-male-slash-female-ratios-states.csv,4.774112895155574,0.3471035842418035,2,2_261,8,Highest Male/Female Ratios: States,2013-01-16,places,lifestyle,North Dakota,NA,NA,North Dakota has the highest male/female ratio for ages 25-34,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the male-to-female ratios in the 25-34 age-group dating pool.,"Ratios were calculated by dividing the number of men ages 25-34 in each state who never married or are separated, widowed or divorced, by the number of women who meet those criteria.","U.S. Census Bureau, 2011 American Community Survey",2013-01-16,1,2013,16,2,2,4
1-2013,best-five-year-employee-growth-industries.csv,-2.378855738703525,0.05672605169587731,2,2_261,4,Best Five-Year Employee Growth: Industries,2013-01-23,companies,business,Technology - Hardware,NA,NA,Tech-related industries have highest five-year employee growth,NA,NA,NA,Bloomberg ranked industries based on employee growth during the last five years.,"Using the last six years of annual employee data, Bloomberg applied the least-squares method to calculate five-year average annual growth in employment for all industry groups in the S&P 500. Most current data were used for the final year. Only groups with five or more companies were included.",Bloomberg,2013-01-23,1,2013,23,1,3,5
1-2013,biggest-gender-gap-in-earnings-countries.csv,3.8708002217322037,5.987476719706649,2,2_261,3,Biggest Gender Gap in Earnings: Countries,2013-01-31,places,personal-finance,South Korea,NA,NA,American men earn 23% more than American women--and it's even worse for women in Asia,NA,NA,NA,Bloomberg ranked countries based on their gender pay gap.,"U.S. figures are for full-time, year-round workers ages 15 and older. Eurostat provided data for EU countries. Switzerland and Norway figures are for male and female paid employees working in industry, construction and services jobs (excluding public administration, defense and compulsory social security jobs). Data for remaining countries came from the OECD and are calculated as the difference between median earnings of men and women relative to median earnings of men. All data were the latest available.","Eurostat, Organization for Economic Cooperation and Development, United States Census",2013-01-31,1,2013,31,2,3,6
2-2013,most-million-dollar-tax-filers-states.csv,-10.713421560340931,-4.36081948859321,2,2_261,1,Most Million-Dollar Tax Filers: States,2013-02-12,places,personal-finance,California,NA,NA,California still has most million-dollar taxpayers though numbers are decreasing,NA,http://www.bna.com/state-tax-snapshot-b17179877223/,NA,Bloomberg ranked the U.S. states and the District of Columbia on the number of federal individual tax returns with adjusted gross incomes of $1 million on more.,Numbers were compared with 2000 and the difference in each state's share of $1 million filers was calculated.. Percentages were rounded.,Internal Revenue Service,2013-02-12,2,2013,12,1,1,1
2-2013,highest-earning-top-5-percent-us-cities.csv,2.980045981309528,5.761190700735183,2,2_261,7,Highest-Earning Top 5%: U.S. Cities,2013-02-13,places,personal-finance,"Huntleigh, MO",NA,NA,"Which place has the top-earning top 5%? Try Huntleigh, Missouri",NA,NA,NA,Bloomberg ranked places with the highest income based on the average earnings of the top 5 percent of households.,Census data were used to identify the 25 places in the U.S. with the highest incomes for the top 5 percent of earners.,"U.S. Census American Community Survey Briefs, 11-23, ""The Geographic Concentration of High-Income Households: 2007-2011""; 2007-2011 American Community Survey 5-Year Estimates",2013-02-13,2,2013,13,2,1,2
2-2013,most-noncitizen-homeowners-us-cities.csv,-0.43895540102054176,-2.0760120916080504,2,2_261,3,Most Noncitizen Homeowners: U.S. Cities,2013-02-13,places,lifestyle,"El Paso, TX",NA,NA,Texas is the favorite state of homeowners who are not U.S. citizens,NA,NA,NA,Bloomberg ranked U.S. cities based on the percentage of noncitizen homeowners.,"The percentage of total occupied housing units that were owner-occupied by foreign-born, non-U.S. citizens was calculated for each city. Only cities with at least 500,000 residents as of 2011 were included.",U.S. Census 2011 ACS 5-Year Estimates,2013-02-13,2,2013,13,1,2,3
