title,updated,entity,topic,winner,is_new,is_pick,filename
Best on U.S. Economy: Forecasters,7/1/2016,people,economics,Christophe Barraud,,TRUE,best-on-u-s-economy-forecasters.csv
CO<span class='sub'>2</span> Saved by Bike-Sharing Programs: U.S. Cities,8/11/2016,places,lifestyle,"New York, NY",TRUE,FALSE,co2-saved-by-bike-sharing-programs-us-cities.csv
Highest Number of Militias: States,2/24/2016,places,politics-and-policy,Ohio,,TRUE,highest-number-of-militias-states.csv
Best Large-Sized Performers: Hedge Funds,2/23/2016,companies,investing,Perceptive Life Sciences,,TRUE,best-large-sized-performers-hedge-funds.csv
Minimum Wage Closest to Median Wage: Countries,2/10/2016,places,personal-finance,Turkey,,TRUE,minimum-wage-closest-to-median-wage-countries.csv
Top Donors to Charity in 2015: U.S. Billionaires,2/9/2016,people,business,John Alfred Paulson (John and Jenny),,TRUE,top-donors-to-charity-in-2015-u-s-billionaires.csv
Greatest Increase in Gun Background Checks 2010-2015: States,1/5/2016,places,politics-and-policy,Indiana,,TRUE,greatest-increase-in-gun-background-checks-2010-2015-states.csv
Best on the Chinese Economy: Forecasters,1/1/2016,people,economics,Song Yu,,TRUE,best-on-the-chinese-economy-forecasters-1.csv
Best on the Brazilian Economy: Forecasters,1/1/2016,people,economics,Ilan Goldfajn,,TRUE,best-on-the-brazilian-economy-forecasters.csv
Best on the Euro-Zone Economy: Forecasters,1/1/2016,people,economics,Christophe Barraud,,TRUE,best-on-the-euro-zone-economy-forecasters.csv
Best on the Japanese Economy: Forecasters,1/1/2016,people,economics,Yoshiki Shinke*,,TRUE,best-on-the-japanese-economy-forecasters.csv
Best on the Mexican Economy: Forecasters,1/1/2016,people,economics,Rodolfo Navarrete,,TRUE,best-on-the-mexican-economy-forecasters.csv
Best on the UK Economy: Forecasters,1/1/2016,people,economics,Dominic Bryant,,TRUE,best-on-the-uk-economy-forecasters.csv
Greatest Increase in U.S. Imports of Crude Oil:  Countries,12/21/2015,places,business,Canada,,TRUE,greastest-increase-in-u-s-imports-of-crude-oil-countries-1.csv
Largest of All Time: M&A Deals,11/11/2015,companies,business,America Online acquires Time Warner,,TRUE,largest-of-all-time-m-a-deals.csv
Most Income Inequality: Congressional Districts,11/2/2015,places,personal-finance,"Pennsylvania, 2 - Chaka Fattah (D)",,TRUE,most-income-inequality-congressional-districts.csv
Biggest Companies Incorporated in Ireland: Stocks,10/29/2015,companies,business,Allergan,,TRUE,biggest-companies-incorporated-in-ireland-stocks.csv
Most Refugees in 2014: Countries,10/29/2015,places,politics-and-policy,Turkey,,TRUE,most-refugees-in-2014-countries.csv
Most Refugees by Place of Origin: Countries,10/29/2015,places,politics-and-policy,Syria,,TRUE,most-refugees-by-place-of-origin-countries.csv
World's Biggest by Deposits: Banks,10/21/2015,companies,business,Industrial & Commercial Bank of China,,TRUE,world-s-biggest-by-deposits-banks.csv
World's Largest: Managed Pension Funds,10/20/2015,investments,investing,Government Pension Investment Fund,,TRUE,world-s-largest-managed-pension-funds.csv
Greatest Increase In NICS Gun Background Checks: States,10/16/2015,places,politics-and-policy,North Carolina,,TRUE,greatest-increase-in-number-of-nics-background-checks-states.csv
Most NICS Gun Background Checks per Capita: States,10/16/2015,places,politics-and-policy,Kentucky,,TRUE,most-nics-firearm-background-checks-per-capita-states.csv
Most Underfunded Pension Plans: States,10/8/2015,places,economics,Illinois,,TRUE,most-underfunded-pension-plans-states-1.csv
Highest Percentage Increase in NFA-Registered Guns: States,10/7/2015,places,politics-and-policy,Utah,,TRUE,highest-percentage-increase-in-nfa-registered-weapons-states.csv
Most Popular: Massive Open Online Courses,10/7/2015,other,education,Machine Learning,,TRUE,most-popular-massive-open-online-courses.csv
Most Representation by Women: State Legislatures,10/7/2015,people,politics-and-policy,Colorado,,TRUE,most-representation-by-women-state-legislatures.csv
Most Planned Parenthood Locations per Capita: States,9/16/2015,places,lifestyle,Vermont,,TRUE,most-planned-parenthood-locations-per-capita-states.csv
World's Strongest: Banks,8/1/2015,companies,business,Hang Seng Bank,,TRUE,world-s-strongest-banks.csv
Top Selling in the First Half 2015: Art,7/21/2015,other,investing,Les femmes d'Alger (Version 'O'),,TRUE,top-selling-in-the-first-half-2015-art.csv
Best Investment Returns: Art,6/22/2015,people,investing,Peter Doig,,TRUE,best-investment-returns-art.csv
Highest Sub-Saharan GDP per Capita: Countries,6/17/2015,places,economics,Equatorial Guinea,,TRUE,highest-sub-saharan-gdp-per-capita-countries.csv
Most Assets Under Management: Registered Investment Advisers,6/1/2015,companies,personal-finance,Wetherby Asset Management,,TRUE,most-assets-under-management-registered-investment-advisers.csv
Greatest Gains in Millennial Population: U.S. Metro Areas,5/28/2015,places,lifestyle,"Riverside-San Bernardino-Ontario, CA",,TRUE,greatest-gains-in-millennial-population-u-s-metro-areas.csv
Most Patents Granted in Millennial-Heavy Cities: U.S. Metro Areas,5/28/2015,places,business,"Dallas-Fort Worth-Arlington, TX",,TRUE,most-patents-granted-in-millennial-heavy-cities-u-s-metro-areas.csv
Biggest Increase in Multifamily Housing Permits: U.S. Metro Areas,5/28/2015,places,economics,"Orlando-Kissimmee-Sanford, FL",,TRUE,biggest-increase-in-multifamily-housing-permits-u-s-metro-areas.csv
Richest Family Offices: Money Managers,3/31/2015,companies,personal-finance,HSBC Private Bank,,TRUE,richest-family-offices-money-managers.csv
Most Guns at Airport Checkpoints: States and U.S. Territories,1/29/2015,places,lifestyle,Texas,,TRUE,number-of-firearms-discovered-at-airport-checkpoints-states-and-u-s-territories.csv
Top Advisers to Global M&A Deals: Banks,1/28/2015,companies,business,Goldman Sachs,,TRUE,top-advisers-to-global-m-a-deals-banks.csv
Top Advisers to U.S. M&A Deals: Banks,1/28/2015,companies,business,Goldman Sachs,,TRUE,top-advisers-to-u-s-m-a-deals-banks.csv
Most Innovative: Countries,1/14/2015,places,economics,South Korea,,TRUE,most-innovative-countries.csv
Top Selling in 2014: Art,12/15/2014,people,investing,Alberto Giacometti,,TRUE,top-selling-in-2014-art.csv
Top Selling in 2014: Artists,12/15/2014,people,investing,Andy Warhol,,TRUE,top-selling-in-2014-artists.csv
Most Registered Guns per Capita: States,12/15/2014,places,lifestyle,Wyoming,,TRUE,most-registered-guns-per-capita-states.csv
Most Community-Minded in the U.S.: Companies,12/3/2014,companies,business,Health Care,,TRUE,most-community-minded-in-the-u-s-companies.csv
World's Largest IPOs: Stocks,11/20/2014,investments,business,Alibaba Group Holding,,,world-s-largest-ipos-stocks.csv
Biggest Drop in Funding for Hospital Preparedness: States,10/17/2014,places,lifestyle,New York,,TRUE,highest-drop-in-hospital-preparedness-grant-funding-states.csv
Greatest Drop in Funding for Emergency Preparedness: States,10/16/2014,places,lifestyle,Texas,,,greatest-drop-in-emergency-preparedness-grant-funding-states-1.csv
Largest U.S. IPOs in 2014: Stocks,10/15/2014,investments,business,Alibaba Group Holding,,TRUE,largest-u-s-ipos-in-2014-stocks.csv
Biggest Spinoffs in North America: Companies,9/30/2014,companies,business,Philip Morris International,,TRUE,biggest-spinoffs-in-north-america-companies.csv
Top-Grossing: Saturday Night Live Alumni,9/23/2014,people,business,Eddie Murphy,,TRUE,top-grossing-saturday-night-live-alumni.csv
Greenest in the World: Banks,9/16/2014,companies,business,Banco Santander,,TRUE,greenest-in-the-world-banks.csv
